set	origin_ATAC	origin_chIP	context	context_id	is_matched	tf_name	db_id_ATAC	db_id_chIP
train	GTRD	GTRD	GM12892 (female B-cells lymphoblastoid cell line)_none	9	TRUE	TAF1	AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634	PEAKS033734;PEAKS033734;PEAKS033734;PEAKS033734;PEAKS033734;PEAKS033734
train	GTRD	GTRD	GM12892 (female B-cells lymphoblastoid cell line)_none	9	TRUE	CTCF	AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634	PEAKS033970;PEAKS033970;PEAKS033970;PEAKS033970;PEAKS033970;PEAKS033970
train	NA	GTRD	GM18505 (female B-cells Lymphoblastoid Cell Lines)_human recombinant TNF-alpha from eBioscience [product# 14-8329-62] (Snyder)	10	FALSE	RELA	NA;NA	PEAKS033930;PEAKS033930
train	NA	GTRD	HCT-116 (colon carcinoma)_none	11	FALSE	TCF7L2	NA	PEAKS036678
train	NA	GTRD	HCT-116 (colon carcinoma)_none	11	FALSE	ZBTB33	NA;NA	PEAKS033545;PEAKS033545
train	NA	GTRD	HCT-116 (colon carcinoma)_none	11	FALSE	YY1	NA;NA;NA;NA	PEAKS033701;PEAKS033701;PEAKS033701;PEAKS033701
train	GTRD	GTRD	HL-60 (acute myeloid leukemia)_none	14	TRUE	CTCF	AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110	PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783;PEAKS033783
train	GTRD	GTRD	HL-60 (acute myeloid leukemia)_none	14	TRUE	SPI1	AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110	PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS033973;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004;PEAKS034004
train	GTRD	GTRD	HL-60 (acute myeloid leukemia)_none	14	TRUE	REST	AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110	PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037;PEAKS034037
train	GTRD	GTRD	HL-60 (acute myeloid leukemia)_none	14	TRUE	GABPA	AEXP002815;AEXP002816;AEXP002817;AEXP003110;AEXP002815;AEXP002816;AEXP002817;AEXP003110	PEAKS034044;PEAKS034044;PEAKS034044;PEAKS034044;PEAKS034044;PEAKS034044;PEAKS034044;PEAKS034044
train	GTRD	GTRD	HPF (pulmonary fibroblasts isolated from lung tissue)_none	15	TRUE	CTCF	AEXP000930;AEXP000930;AEXP000930;AEXP000930;AEXP000930;AEXP000930;AEXP000930	PEAKS033755;PEAKS033755;PEAKS033755;PEAKS049006;PEAKS049006;PEAKS049006;PEAKS049006
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	MYC	NA;NA;NA	PEAKS033547;PEAKS033547;PEAKS033547
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	MAX	NA;NA;NA;NA	PEAKS033571;PEAKS033571;PEAKS033571;PEAKS033571
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	JUN	NA;NA;NA;NA	PEAKS033616;PEAKS033616;PEAKS033616;PEAKS033616
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	GATA2	NA;NA;NA	PEAKS033718;PEAKS033718;PEAKS033718
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	FOS	NA;NA;NA	PEAKS033738;PEAKS033738;PEAKS033738
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	CTCF	NA;NA;NA;NA;NA;NA;NA	PEAKS033788;PEAKS033788;PEAKS033788;PEAKS033788;PEAKS033809;PEAKS033809;PEAKS033809
train	NA	GTRD	HUVEC-C (HUVEC, umbilical vein endothelial cells)_none	16	FALSE	EZH2	NA;NA	PEAKS044742;PEAKS044742
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_Interferon gamma treatment - 30 minutes (Snyder)	17	FALSE	STAT1	NA;NA;NA	PEAKS033724;PEAKS033724;PEAKS033724
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	MAX	NA;NA;NA;NA	PEAKS033450;PEAKS033450;PEAKS033450;PEAKS033450
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	MXI1	NA;NA;NA	PEAKS033456;PEAKS033456;PEAKS033456
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	ELK4	NA;NA;NA;NA	PEAKS033466;PEAKS033466;PEAKS033466;PEAKS033466
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	STAT3	NA;NA	PEAKS033481;PEAKS033481
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	JUN	NA;NA	PEAKS033494;PEAKS033494
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	PRDM1	NA;NA	PEAKS033533;PEAKS033533
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	E2F1	NA;NA;NA;NA	PEAKS033540;PEAKS033540;PEAKS033544;PEAKS033544
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	CTCF	NA;NA;NA;NA;NA;NA;NA;NA	PEAKS033541;PEAKS033541;PEAKS033541;PEAKS033541;PEAKS033647;PEAKS033647;PEAKS033647;PEAKS033647
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	IRF3	NA;NA	PEAKS033543;PEAKS033543
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	CEBPB	NA;NA;NA;NA	PEAKS033548;PEAKS033548;PEAKS033548;PEAKS033548
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	NRF1	NA;NA	PEAKS033582;PEAKS033582
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	MYC	NA;NA;NA;NA;NA;NA	PEAKS033599;PEAKS033599;PEAKS033599;PEAKS033599;PEAKS033629;PEAKS033629
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	REST	NA;NA;NA;NA	PEAKS033627;PEAKS033627;PEAKS033627;PEAKS033627
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	NR2C2	NA;NA;NA	PEAKS033659;PEAKS033659;PEAKS033659
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	TBP	NA;NA;NA	PEAKS033666;PEAKS033666;PEAKS033666
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	E2F4	NA;NA;NA	PEAKS033667;PEAKS033667;PEAKS033667
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SMARCC2	NA;NA	PEAKS033694;PEAKS033694
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	FOS	NA;NA;NA;NA	PEAKS033721;PEAKS033721;PEAKS033721;PEAKS033721
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	RFX5	NA;NA	PEAKS033753;PEAKS033753
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	GABPA	NA;NA;NA	PEAKS033759;PEAKS033759;PEAKS033759
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	JUND	NA;NA;NA;NA	PEAKS033762;PEAKS033762;PEAKS033762;PEAKS033762
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SMARCC1	NA;NA	PEAKS033794;PEAKS033794
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	USF2	NA;NA;NA;NA	PEAKS033804;PEAKS033804;PEAKS033804;PEAKS033804
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	TAF1	NA;NA;NA;NA	PEAKS033811;PEAKS033811;PEAKS033811;PEAKS033811
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	E2F6	NA;NA	PEAKS033819;PEAKS033819
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	UBTF	NA	PEAKS041343
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	MAFF	NA;NA;NA;NA	PEAKS041382;PEAKS041382;PEAKS041382;PEAKS041382
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	ZHX1	NA;NA;NA	PEAKS041569;PEAKS041569;PEAKS041569
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	NFE2L2	NA;NA;NA	PEAKS041845;PEAKS041845;PEAKS041845
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SREBF2	NA	PEAKS042041
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	EZH2	NA;NA	PEAKS044745;PEAKS044745
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	ZZZ3	NA	PEAKS044867
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	BDP1	NA;NA	PEAKS044870;PEAKS044870
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	BRF2	NA	PEAKS044871
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	GTF3C2	NA	PEAKS044872
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	DEK	NA;NA;NA;NA	PEAKS044896;PEAKS044896;PEAKS044896;PEAKS044896
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SMARCA4	NA;NA;NA	PEAKS044977;PEAKS044977;PEAKS044977
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	HCFC1	NA;NA;NA	PEAKS045022;PEAKS045022;PEAKS045022
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	CHD2	NA;NA;NA;NA	PEAKS045024;PEAKS045024;PEAKS045024;PEAKS045024
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SMC3	NA;NA	PEAKS045025;PEAKS045025
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	SMARCB1	NA;NA;NA	PEAKS045034;PEAKS045034;PEAKS045034
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	EP300	NA;NA;NA;NA;NA;NA	PEAKS045039;PEAKS045039;PEAKS045048;PEAKS045048;PEAKS045048;PEAKS045048
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	GTF2F1	NA;NA;NA	PEAKS045040;PEAKS045040;PEAKS045040
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	RAD21	NA;NA;NA;NA	PEAKS045042;PEAKS045042;PEAKS045042;PEAKS045042
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	BRCA1	NA;NA	PEAKS045043;PEAKS045043
train	NA	GTRD	HeLa S3 (cervical adenocarcinoma)_none	18	FALSE	ZFP36	NA;NA	PEAKS045146;PEAKS045146
train	NA	GTRD	HepG2 (hepatoblastoma)_DMEM with 0.5% BSA supplemented with 100 nM insulin and 10 uM 22-hydroxycholesterol for 6 h. (Snyder)	19	FALSE	SREBF1	NA	PEAKS033767
train	NA	GTRD	HepG2 (hepatoblastoma)_low-glucose DMEM with 0.5% BSA supplemented with 1uM forskolin and 1mM pyruvate for 6h. (Snyder)	20	FALSE	HNF4A	NA;NA;NA;NA	PEAKS033442;PEAKS033442;PEAKS033442;PEAKS033442
train	NA	GTRD	HepG2 (hepatoblastoma)_low-glucose DMEM with 0.5% BSA supplemented with 1uM forskolin and 1mM pyruvate for 6h. (Snyder)	20	FALSE	NR3C1	NA	PEAKS033534
train	NA	GTRD	HepG2 (hepatoblastoma)_low-glucose DMEM with 0.5% BSA supplemented with 1uM forskolin and 1mM pyruvate for 6h. (Snyder)	20	FALSE	HSF1	NA;NA	PEAKS033635;PEAKS033635
train	NA	GTRD	HepG2 (hepatoblastoma)_low-glucose DMEM with 0.5% BSA supplemented with 1uM forskolin and 1mM pyruvate for 6h. (Snyder)	20	FALSE	CEBPB	NA;NA;NA	PEAKS033668;PEAKS033668;PEAKS033668
train	NA	GTRD	HepG2 (hepatoblastoma)_low-glucose DMEM with 0.5% BSA supplemented with 1uM forskolin and 1mM pyruvate for 6h. (Snyder)	20	FALSE	ESRRA	NA;NA	PEAKS033784;PEAKS033784
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	CEBPD	NA;NA;NA	PEAKS033751;PEAKS033751;PEAKS033751
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	TEAD4	NA;NA;NA;NA	PEAKS033779;PEAKS033779;PEAKS033779;PEAKS033779
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	CTCF	NA;NA;NA;NA	PEAKS033889;PEAKS033889;PEAKS033889;PEAKS033889
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	GATAD2A	NA;NA;NA;NA	PEAKS041371;PEAKS041371;PEAKS041371;PEAKS041371
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	NR2F6	NA;NA;NA;NA	PEAKS041673;PEAKS041673;PEAKS041673;PEAKS041673
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	ATF1	NA;NA	PEAKS041691;PEAKS041691
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	ATF4	NA	PEAKS041745
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	NR2F1	NA;NA;NA;NA	PEAKS041780;PEAKS041780;PEAKS041780;PEAKS041780
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	KAT8	NA;NA;NA;NA	PEAKS041877;PEAKS041877;PEAKS041877;PEAKS041877
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	GABPA	NA;NA;NA	PEAKS041905;PEAKS041905;PEAKS041905
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	ZNF143	NA;NA;NA	PEAKS041914;PEAKS041914;PEAKS041914
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	SOX13	NA;NA;NA;NA	PEAKS041961;PEAKS041961;PEAKS041961;PEAKS041961
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	KLF16	NA;NA;NA;NA	PEAKS042010;PEAKS042010;PEAKS042010;PEAKS042010
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	CREB1	NA;NA;NA	PEAKS042017;PEAKS042017;PEAKS042017
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	IRF2	NA;NA;NA;NA	PEAKS044775;PEAKS044775;PEAKS044775;PEAKS044775
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	SLC30A9	NA;NA;NA	PEAKS044778;PEAKS044778;PEAKS044778
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	U2AF1	NA;NA;NA;NA	PEAKS044810;PEAKS044810;PEAKS044810;PEAKS044810
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	FOXP1	NA;NA;NA;NA	PEAKS045033;PEAKS045033;PEAKS045033;PEAKS045033
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	GABPB1	NA;NA;NA;NA	PEAKS045185;PEAKS045185;PEAKS045185;PEAKS045185
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	KDM1A	NA;NA;NA;NA	PEAKS045212;PEAKS045212;PEAKS045212;PEAKS045212
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	RAD21	NA;NA;NA	PEAKS045223;PEAKS045223;PEAKS045223
train	NA	GTRD	HepG2 (hepatoblastoma)_none	21	FALSE	ZNF639	NA;NA;NA	PEAKS045252;PEAKS045252;PEAKS045252
train	NA	GTRD	K562 (myelogenous leukemia)_30 m of Interferon alpha (Snyder)	29	FALSE	MYC	NA	PEAKS033437
train	NA	GTRD	K562 (myelogenous leukemia)_30 m of Interferon alpha (Snyder)	29	FALSE	IRF1	NA	PEAKS033589
train	NA	GTRD	K562 (myelogenous leukemia)_30 m of Interferon alpha (Snyder)	29	FALSE	STAT2	NA	PEAKS033703
